Count,GSR
0,565
1,563
2,563
3,559
4,557
5,557
6,541
7,539
8,541
9,550
10,551
11,547
12,542
13,541
14,541
15,544
16,547
17,542
18,543
19,544
20,540
21,542
22,546
23,546
24,545
25,549
26,546
27,547
28,541
29,544
30,549
31,549
32,544
33,550
34,548
35,547
36,545
37,548
38,549
39,547
40,547
41,544
42,545
43,542
44,544
45,542
46,542
47,545
48,542
49,544
50,546
51,547
52,549
53,548
54,546
55,544
56,546
57,546
58,544
59,545
60,543
61,545
62,543
63,544
64,543
65,543
66,545
67,544
68,545
69,542
70,541
71,541
72,539
73,542
74,545
75,546
76,542
77,544
78,538
79,540
80,541
81,543
82,542
83,539
84,539
85,538
86,540
87,543
88,546
89,541
90,541
91,539
92,538
93,547
94,547
95,543
96,545
97,542
98,541
99,543
100,542
101,540
102,539
103,540
104,540
105,543
106,546
107,540
108,539
109,538
110,538
111,541
112,540
113,538
114,541
115,547
116,554
117,552
118,553
119,553
120,548
121,547
122,544
123,543
124,540
125,541
126,538
127,539
128,539
129,542
130,538
131,536
132,538
133,540
134,539
135,539
136,537
137,537
138,539
139,536
140,538
141,539
142,538
143,537
144,536
145,538
146,536
147,537
148,537
149,535
150,535
151,539
152,541
153,539
154,538
155,537
156,538
157,536
158,539
159,537
160,540
161,541
162,542
163,539
164,540
165,542
166,543
167,542
168,537
169,536
170,538
171,535
172,537
173,533
174,536
175,536
176,536
177,538
178,535
179,537
180,536
181,536
182,535
183,534
184,535
185,537
186,539
187,537
188,536
189,534
190,537
191,535
192,539
193,536
194,536
195,540
196,540
197,537
198,535
199,536
200,538
201,534
202,532
203,531
204,534
205,533
206,535
207,537
208,534
209,538
210,538
211,537
212,535
213,538
214,532
215,535
216,538
217,536
218,538
219,538
220,540
221,538
222,540
223,541
224,539
225,537
226,537
227,538
228,538
229,537
230,536
231,538
232,535
233,539
234,542
235,538
236,541
237,542
238,538
239,539
240,541
241,541
242,541
243,542
244,543
245,541
246,541
247,539
248,541
249,543
250,540
251,541
252,543
253,542
254,542
255,540
256,539
257,543
258,544
259,541
260,542
261,546
262,544
263,544
264,544
265,543
266,543
267,544
268,544
269,542
270,543
271,541
272,543
273,543
274,544
275,545
276,541
277,541
278,543
279,544
280,541
281,543
282,542
283,540
284,541
285,543
286,539
287,541
288,543
289,541
290,545
291,545
292,542
293,542
294,544
295,545
296,545
297,544
298,546
299,548
300,544
301,549
302,549
303,547
304,547
305,547
306,544
307,544
308,543
309,542
310,543
311,541
312,544
313,546
314,544
315,545
316,546
317,543
318,544
319,545
320,545
321,547
322,546
323,548
324,544
325,548
326,545
327,545
328,545
329,544
330,543
331,544
332,543
333,544
334,543
335,540
336,541
337,542
338,542
339,542
340,543
341,541
342,542
343,545
344,546
345,544
346,542
347,542
348,543
349,542
350,544
351,543
352,545
353,541
354,543
355,542
356,542
357,541
358,542
359,540
360,541
361,541
362,544
363,538
364,543
365,547
366,545
367,544
368,541
369,545
370,547
371,543
372,544
373,544
374,546
375,546
376,547
377,548
378,543
379,543
380,542
381,542
382,541
383,543
384,545
385,543
386,541
387,537
388,539
389,536
390,542
391,542
392,543
393,543
394,545
395,541
396,543
397,539
398,541
399,539
400,541
401,539
402,541
403,540
404,541
405,543
406,543
407,541
408,539
409,539
410,539
411,542
