X,Y,Z,fid,id,left,top,right,bottom,row_index,col_index,p_id_count
12.3512584857319,45.434430924713,0,1,1,1374885.80527777,5690225.00739122,1374985.80527777,5690125.00739122,0,0,123
12.3512584857319,45.433800550858,0,2,2,1374885.80527777,5690125.00739122,1374985.80527777,5690025.00739122,1,0,163
12.3512584857319,45.4331701699617,0,3,3,1374885.80527777,5690025.00739122,1374985.80527777,5689925.00739122,2,0,414
12.3512584857319,45.432539782024,0,4,4,1374885.80527777,5689925.00739122,1374985.80527777,5689825.00739122,3,0,114
12.3512584857319,45.431909387045,0,5,5,1374885.80527777,5689825.00739122,1374985.80527777,5689725.00739122,4,0,544
12.3512584857319,45.4312789850246,0,6,6,1374885.80527777,5689725.00739122,1374985.80527777,5689625.00739122,5,0,134
12.3512584857319,45.4306485759629,0,7,7,1374885.80527777,5689625.00739122,1374985.80527777,5689525.00739122,6,0,62
12.3512584857319,45.4301687989357,0,8,8,1374885.80527777,5689525.00739122,1374985.80527777,5689425.00739122,7,0,12
12.3521568009262,45.434430924713,0,9,9,1374985.80527777,5690225.00739122,1375085.80527777,5690125.00739122,0,1,253
12.3521568009262,45.433800550858,0,10,10,1374985.80527777,5690125.00739122,1375085.80527777,5690025.00739122,1,1,526
12.3521568009262,45.4331701699617,0,11,11,1374985.80527777,5690025.00739122,1375085.80527777,5689925.00739122,2,1,659
12.3521568009262,45.432539782024,0,12,12,1374985.80527777,5689925.00739122,1375085.80527777,5689825.00739122,3,1,189
12.3521568009262,45.431909387045,0,13,13,1374985.80527777,5689825.00739122,1375085.80527777,5689725.00739122,4,1,195
12.3521568009262,45.4312789850246,0,14,14,1374985.80527777,5689725.00739122,1375085.80527777,5689625.00739122,5,1,303
12.3521568009262,45.4306485759629,0,15,15,1374985.80527777,5689625.00739122,1375085.80527777,5689525.00739122,6,1,92
12.3521568009262,45.4301687989357,0,16,16,1374985.80527777,5689525.00739122,1375085.80527777,5689425.00739122,7,1,21
12.3530551162103,45.434430924713,0,17,17,1375085.80527777,5690225.00739122,1375185.80527777,5690125.00739122,0,2,346
12.3530551162103,45.433800550858,0,18,18,1375085.80527777,5690125.00739122,1375185.80527777,5690025.00739122,1,2,489
12.3530551162103,45.4331701699617,0,19,19,1375085.80527777,5690025.00739122,1375185.80527777,5689925.00739122,2,2,1279
12.3530551162103,45.432539782024,0,20,20,1375085.80527777,5689925.00739122,1375185.80527777,5689825.00739122,3,2,378
12.3530551162103,45.431909387045,0,21,21,1375085.80527777,5689825.00739122,1375185.80527777,5689725.00739122,4,2,156
12.3530551162103,45.4312789850246,0,22,22,1375085.80527777,5689725.00739122,1375185.80527777,5689625.00739122,5,2,330
12.3530551162103,45.4306485759629,0,23,23,1375085.80527777,5689625.00739122,1375185.80527777,5689525.00739122,6,2,130
12.3530551162103,45.4301687989357,0,24,24,1375085.80527777,5689525.00739122,1375185.80527777,5689425.00739122,7,2,21
12.3539534314944,45.434430924713,0,25,25,1375185.80527777,5690225.00739122,1375285.80527777,5690125.00739122,0,3,84
12.3539534314944,45.433800550858,0,26,26,1375185.80527777,5690125.00739122,1375285.80527777,5690025.00739122,1,3,489
12.3539534314944,45.4331701699617,0,27,27,1375185.80527777,5690025.00739122,1375285.80527777,5689925.00739122,2,3,561
12.3539534314944,45.432539782024,0,28,28,1375185.80527777,5689925.00739122,1375285.80527777,5689825.00739122,3,3,178
12.3539534314944,45.431909387045,0,29,29,1375185.80527777,5689825.00739122,1375285.80527777,5689725.00739122,4,3,51
12.3539534314944,45.4312789850246,0,30,30,1375185.80527777,5689725.00739122,1375285.80527777,5689625.00739122,5,3,63
12.3539534314944,45.4306485759629,0,31,31,1375185.80527777,5689625.00739122,1375285.80527777,5689525.00739122,6,3,287
12.3539534314944,45.4301687989357,0,32,32,1375185.80527777,5689525.00739122,1375285.80527777,5689425.00739122,7,3,59
12.3548517467785,45.434430924713,0,33,33,1375285.80527777,5690225.00739122,1375385.80527777,5690125.00739122,0,4,310
12.3548517467785,45.433800550858,0,34,34,1375285.80527777,5690125.00739122,1375385.80527777,5690025.00739122,1,4,445
12.3548517467785,45.4331701699617,0,35,35,1375285.80527777,5690025.00739122,1375385.80527777,5689925.00739122,2,4,659
12.3548517467785,45.432539782024,0,36,36,1375285.80527777,5689925.00739122,1375385.80527777,5689825.00739122,3,4,175
12.3548517467785,45.431909387045,0,37,37,1375285.80527777,5689825.00739122,1375385.80527777,5689725.00739122,4,4,215
12.3548517467785,45.4312789850246,0,38,38,1375285.80527777,5689725.00739122,1375385.80527777,5689625.00739122,5,4,76
12.3548517467785,45.4306485759629,0,39,39,1375285.80527777,5689625.00739122,1375385.80527777,5689525.00739122,6,4,133
12.3548517467785,45.4301687989357,0,40,40,1375285.80527777,5689525.00739122,1375385.80527777,5689425.00739122,7,4,258
12.3557500620627,45.434430924713,0,41,41,1375385.80527777,5690225.00739122,1375485.80527777,5690125.00739122,0,5,821
12.3557500620627,45.433800550858,0,42,42,1375385.80527777,5690125.00739122,1375485.80527777,5690025.00739122,1,5,793
12.3557500620627,45.4331701699617,0,43,43,1375385.80527777,5690025.00739122,1375485.80527777,5689925.00739122,2,5,287
12.3557500620627,45.432539782024,0,44,44,1375385.80527777,5689925.00739122,1375485.80527777,5689825.00739122,3,5,410
12.3557500620627,45.431909387045,0,45,45,1375385.80527777,5689825.00739122,1375485.80527777,5689725.00739122,4,5,100
12.3557500620627,45.4312789850246,0,46,46,1375385.80527777,5689725.00739122,1375485.80527777,5689625.00739122,5,5,50
12.3557500620627,45.4306485759629,0,47,47,1375385.80527777,5689625.00739122,1375485.80527777,5689525.00739122,6,5,191
12.3557500620627,45.4301687989357,0,48,48,1375385.80527777,5689525.00739122,1375485.80527777,5689425.00739122,7,5,820
12.3566483773468,45.434430924713,0,49,49,1375485.80527777,5690225.00739122,1375585.80527777,5690125.00739122,0,6,17
12.3566483773468,45.433800550858,0,50,50,1375485.80527777,5690125.00739122,1375585.80527777,5690025.00739122,1,6,50
12.3566483773468,45.4331701699617,0,51,51,1375485.80527777,5690025.00739122,1375585.80527777,5689925.00739122,2,6,113
12.3566483773468,45.432539782024,0,52,52,1375485.80527777,5689925.00739122,1375585.80527777,5689825.00739122,3,6,308
12.3566483773468,45.431909387045,0,53,53,1375485.80527777,5689825.00739122,1375585.80527777,5689725.00739122,4,6,58
12.3566483773468,45.4312789850246,0,54,54,1375485.80527777,5689725.00739122,1375585.80527777,5689625.00739122,5,6,65
