,p_id,lat,lon,o_id,p_date,accuracy,Name,ID,NumberViews,NumberFavorites,title,tags,url
47,9669939,51.504996,-0.078363,56545618@N00,2005-04-17 13:03:39,15,Dan,9669939,89,0,Tower Bridge,london uk towerbridge thames,https://live.staticflickr.com/4/9669939_9c3e94b123_m.jpg
48,9669941,51.5047,-0.0788,56545618@N00,2005-04-17 13:02:40,16,Dan,9669941,146,1,Mime outside City Hall,uk london geotagged cityhall mime geo:lat=515047 geo:lon=00788 osm:way=8877349,https://live.staticflickr.com/5/9669941_fd23c86fef_m.jpg
49,9669944,51.5047,-0.0788,56545618@N00,2005-04-17 13:01:23,16,Dan,9669944,75,0,City Hall,uk london geotagged cityhall geo:lat=515047 geo:lon=00788 osm:way=8877349,https://live.staticflickr.com/7/9669944_fe24ee7e0a_m.jpg
50,9669947,51.504996,-0.078363,56545618@N00,2005-04-17 13:00:24,15,Dan,9669947,329,0,Gherkin,london uk gherkin 30stmaryaxe thames skyline erotic,https://live.staticflickr.com/4/9669947_35fdb3261f_m.jpg
51,9669954,51.5047,-0.0788,56545618@N00,2005-04-17 12:17:55,16,Dan,9669954,111,0,City Hall removal,uk london geotagged crane cityhall geo:lat=515047 geo:lon=00788 osm:way=8877349,https://live.staticflickr.com/4/9669954_5dda5e5605_m.jpg
52,9669963,51.5047,-0.0788,56545618@N00,2005-04-17 13:25:00,16,Dan,9669963,174,1,Fountains by City Hall,uk london water geotagged cityhall fountains geo:lat=515047 geo:lon=00788 osm:way=8877349,https://live.staticflickr.com/4/9669963_4e3d18c6f0_m.jpg
53,9669967,51.504615,-0.079693,56545618@N00,2005-04-17 13:29:57,15,Dan,9669967,117,0,Observing art,london uk yannarthusbertrand,https://live.staticflickr.com/8/9669967_6d29ba3a5e_m.jpg
54,9669969,51.504615,-0.079693,56545618@N00,2005-04-17 13:30:10,15,Dan,9669969,56,0,Egg shaped artwork,london uk yannarthusbertrand,https://live.staticflickr.com/6/9669969_513e4f8337_m.jpg
55,9669976,51.504615,-0.079693,56545618@N00,2005-04-17 13:33:18,15,Dan,9669976,50,0,Artwork and reflections,london uk yannarthusbertrand,https://live.staticflickr.com/8/9669976_41f7a6fae1_m.jpg
56,9669984,51.504615,-0.079693,56545618@N00,2005-04-17 13:35:21,15,Dan,9669984,58,0,More London... caged off,london uk morelondon,https://live.staticflickr.com/7/9669984_0fe0029565_m.jpg
57,9669985,51.504615,-0.079693,56545618@N00,2005-04-17 13:39:00,15,Dan,9669985,930,2,Skater boys,london uk skater,https://live.staticflickr.com/6/9669985_2ce05ad3c9_m.jpg
58,10581653,51.504996,-0.078363,56545618@N00,2005-04-23 15:21:21,15,Dan,10581653,50,0,Street 'sculptor',london uk meetup,https://live.staticflickr.com/6/10581653_d36049acfd_m.jpg
59,10581658,51.504321,-0.080219,56545618@N00,2005-04-23 15:28:08,15,Dan,10581658,104,0,Admiration,london uk meetup yannarthusbertrand,https://live.staticflickr.com/8/10581658_dbdb25d219_m.jpg
60,10581663,51.505717,-0.080841,56545618@N00,2005-04-23 15:35:00,15,Dan,10581663,65,0,Roasted nuts,london uk meetup,https://live.staticflickr.com/8/10581663_60f7c0c062_m.jpg
61,10819822,51.504735,-0.081667,65672777@N00,2005-04-25 08:31:20,14,Lee McEwan,10819822,108,0,More London,london morelondon,https://live.staticflickr.com/7/10819822_444e40875a_m.jpg
62,10819826,51.504735,-0.081667,65672777@N00,2005-04-25 08:31:21,14,Lee McEwan,10819826,91,0,More London,london morelondon,https://live.staticflickr.com/7/10819826_db61f5df95_m.jpg
