t,rms,centroid_hz,bandwidth_hz,rolloff_hz,flux,f0_hz,voiced_prob,mfcc_01,dmfcc_01,d2mfcc_01,mfcc_02,dmfcc_02,d2mfcc_02,mfcc_03,dmfcc_03,d2mfcc_03,mfcc_04,dmfcc_04,d2mfcc_04,mfcc_05,dmfcc_05,d2mfcc_05,mfcc_06,dmfcc_06,d2mfcc_06,mfcc_07,dmfcc_07,d2mfcc_07,mfcc_08,dmfcc_08,d2mfcc_08,mfcc_09,dmfcc_09,d2mfcc_09,mfcc_10,dmfcc_10,d2mfcc_10,mfcc_11,dmfcc_11,d2mfcc_11,mfcc_12,dmfcc_12,d2mfcc_12,mfcc_13,dmfcc_13,d2mfcc_13,chroma_00,chroma_01,chroma_02,chroma_03,chroma_04,chroma_05,chroma_06,chroma_07,chroma_08,chroma_09,chroma_10,chroma_11,x,y,z,cluster_id
0.0,1.3407743e-05,7750.270487571112,2129.8889996611083,9948.33984375,0.0,0.0,1.2538222010138514e-11,-905.0967,-4.3735716e-14,3.704921e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.786376,0.88489556,1.0,0.9991321,0.8670652,0.51339865,0.47554117,0.42036694,0.4239351,0.5687957,0.64636415,0.7216664,6.765072,-6.5714245,-9.451217,8
0.011609977324263039,1.7009079e-05,7779.31104571712,2128.3646109491783,9991.40625,0.0067238109186291695,0.0,6.093983766199639e-12,-905.0967,-4.3735716e-14,3.704921e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7811669,0.854789,0.9655681,1.0,0.90631276,0.4984839,0.442444,0.42074198,0.44787148,0.55742145,0.6052803,0.7154495,6.7648034,-6.5493364,-9.485341,8
0.023219954648526078,1.861935e-05,7806.618388562372,2123.257588868928,10002.1728515625,0.005632505286484957,0.0,6.060998965855151e-12,-905.0967,-4.3735716e-14,3.704921e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.772238,0.8055151,0.9033351,1.0,0.9286763,0.47349843,0.4096396,0.43029365,0.46706763,0.5672951,0.57816595,0.70468116,6.766775,-6.5490804,-9.489656,8
0.034829931972789115,1.906771e-05,7838.308017673076,2100.528363539461,10002.1728515625,0.005589484702795744,0.0,2.6773927281346414e-12,-905.0967,-4.3735716e-14,3.704921e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7940311,0.7585559,0.82954246,1.0,0.9244091,0.45756873,0.38697708,0.4461042,0.47392705,0.57734174,0.60427743,0.720401,6.7977195,-6.5063252,-9.543488,8
0.046439909297052155,1.925223e-05,7877.963346057422,2078.8087921107594,10012.939453125,0.005950216203927994,0.0,5.806172221895239e-12,-905.0967,3.140185e-15,-1.4210855e-14,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.8271735,0.75722396,0.8083642,1.0,0.94341445,0.4557462,0.3840203,0.46430802,0.47945923,0.5909135,0.641983,0.7449689,6.767824,-6.5286784,-9.50108,8
0.058049886621315196,1.9085475e-05,7878.362921650798,2068.0420579082547,10012.939453125,0.005727976560592651,0.0,1.2354601979611762e-11,-905.0967,3.140185e-15,-1.4210855e-14,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.85484076,0.8421793,0.9046833,1.0,0.9840459,0.5083074,0.4154405,0.48209187,0.5207559,0.6270397,0.67590153,0.7587587,6.7099066,-6.651563,-9.375748,8
0.06965986394557823,1.8531584e-05,7858.705735265206,2070.48594099756,9980.6396484375,0.005316215101629496,0.0,1.2040582331440217e-12,-905.0967,3.140185e-15,-1.4210855e-14,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.7822209,0.8784537,1.0,0.9961789,0.9595845,0.5286402,0.41361284,0.45635912,0.5218684,0.6074482,0.6600898,0.7127003,6.7354193,-6.591031,-9.439807,8
0.08126984126984127,1.8163502e-05,7789.138910305301,2092.5617724658123,9905.2734375,0.005476194433867931,0.0,5.769648831945943e-12,-905.0967,3.140185e-15,-1.4210855e-14,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.69255453,0.8634867,1.0,0.9670186,0.88107324,0.5077945,0.40293124,0.41595337,0.51221097,0.55302113,0.6235072,0.6532541,6.7976117,-6.522296,-9.511557,8
0.09287981859410431,1.836519e-05,7728.469405025042,2125.19662731198,9883.740234375,0.005622800439596176,0.0,5.803415873491519e-12,-905.0967,3.140185e-15,-1.4210855e-14,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.7161424,0.86832184,1.0,0.96124244,0.8961232,0.53092664,0.42312217,0.43023905,0.5364866,0.58937365,0.6427125,0.6712244,6.7806916,-6.555394,-9.470273,8
0.10448979591836735,1.8837864e-05,7696.398283866851,2165.697362797939,9905.2734375,0.00613907165825367,0.0,2.669618888814045e-12,-905.0967,3.140185e-15,-1.4210855e-14,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.7871018,0.87428296,1.0,0.9461883,0.934663,0.5548192,0.41990426,0.46818,0.57680935,0.67415506,0.69970196,0.71102107,6.757174,-6.6467886,-9.330474,8
