timestamp,value
2025-11-30T17:16:07.629906,-0.33
2025-11-30T17:17:08.907543,-0.39
2025-11-30T17:17:09.009925,-0.44
2025-11-30T17:17:09.112999,-0.37
2025-11-30T17:17:09.215674,-0.35
2025-11-30T17:17:09.317673,-0.42
2025-11-30T17:17:09.419609,-0.37
2025-11-30T17:17:09.523697,-0.43
2025-11-30T17:17:09.626416,-0.34
2025-11-30T17:17:09.728815,-0.26
2025-11-30T17:17:09.830815,-0.25
2025-11-30T17:17:09.933262,-0.20
2025-11-30T17:17:10.035640,-0.14
2025-11-30T17:17:10.138127,-0.22
2025-11-30T17:17:10.240587,-0.21
2025-11-30T17:17:10.343154,-0.17
2025-11-30T17:17:10.446175,-0.20
2025-11-30T17:17:10.548105,-0.20
2025-11-30T17:17:10.650531,-0.12
2025-11-30T17:17:10.753163,-0.03
2025-11-30T17:17:10.857634,0.03
2025-11-30T17:17:10.959744,0.04
2025-11-30T17:17:11.061920,-0.04
2025-11-30T17:17:11.164495,-0.01
2025-11-30T17:17:11.267104,-0.10
2025-11-30T17:17:11.370173,-0.08
2025-11-30T17:17:11.471809,-0.04
2025-11-30T17:17:11.573237,-0.02
2025-11-30T17:17:11.675151,0.01
2025-11-30T17:17:11.779044,-0.09
2025-11-30T17:17:11.880830,-0.09
2025-11-30T17:17:11.982930,-0.13
2025-11-30T17:17:12.085496,-0.17
2025-11-30T17:17:12.188716,-0.25
2025-11-30T17:17:12.291735,-0.19
2025-11-30T17:17:12.394241,-0.23
2025-11-30T17:17:12.497175,-0.17
2025-11-30T17:17:12.600391,-0.14
2025-11-30T17:17:12.703064,-0.10
2025-11-30T17:17:12.804695,0.00
2025-11-30T17:17:12.906209,-0.09
2025-11-30T17:17:13.007771,-0.16
2025-11-30T17:17:13.111284,-0.12
2025-11-30T17:17:13.213766,-0.18
2025-11-30T17:17:13.316081,-0.22
2025-11-30T17:17:13.418086,-0.23
2025-11-30T17:17:13.520779,-0.14
2025-11-30T17:17:13.623332,-0.17
2025-11-30T17:17:13.725379,-0.11
2025-11-30T17:17:13.828169,-0.06
2025-11-30T17:17:13.930640,0.01
2025-11-30T17:17:14.033844,-0.05
2025-11-30T17:17:14.136790,-0.08
2025-11-30T17:17:14.239035,-0.14
2025-11-30T17:17:14.341069,-0.18
2025-11-30T17:17:14.443413,-0.10
2025-11-30T17:17:14.546500,-0.05
2025-11-30T17:17:14.649159,-0.05
2025-11-30T17:17:14.751698,-0.10
2025-11-30T17:17:14.854616,-0.13
2025-11-30T17:17:14.958575,-0.08
2025-11-30T17:17:15.060896,-0.13
2025-11-30T17:17:15.163390,-0.11
2025-11-30T17:17:15.265275,-0.05
2025-11-30T17:17:15.367613,0.05
2025-11-30T17:17:15.470065,0.04
2025-11-30T17:17:15.572456,0.09
2025-11-30T17:17:15.675265,0.08
2025-11-30T17:17:15.779364,-0.00
2025-11-30T17:17:15.881318,0.01
2025-11-30T17:17:15.984137,-0.01
2025-11-30T17:17:16.086558,0.08
2025-11-30T17:17:16.190432,0.10
2025-11-30T17:17:16.292687,0.07
2025-11-30T17:17:16.394762,0.00
2025-11-30T17:17:16.497166,0.03
2025-11-30T17:17:16.602114,0.02
2025-11-30T17:17:16.704076,0.04
2025-11-30T17:17:16.806895,-0.01
2025-11-30T17:17:16.909150,-0.08
2025-11-30T17:17:17.011946,-0.17
2025-11-30T17:17:17.113892,-0.22
2025-11-30T17:17:17.216113,-0.23
2025-11-30T17:17:17.318006,-0.15
2025-11-30T17:17:17.421479,-0.14
2025-11-30T17:17:17.524679,-0.13
2025-11-30T17:17:17.626915,-0.10
2025-11-30T17:17:17.729462,-0.02
2025-11-30T17:17:17.832387,-0.04
2025-11-30T17:17:17.935402,-0.09
2025-11-30T17:17:18.037872,-0.07
2025-11-30T17:17:18.139445,-0.17
2025-11-30T17:17:18.241396,-0.22
2025-11-30T17:17:18.343767,-0.26
2025-11-30T17:17:18.445973,-0.18
2025-11-30T17:17:18.548382,-0.09
2025-11-30T17:17:18.650540,-0.14
2025-11-30T17:17:18.753288,-0.14
2025-11-30T17:17:18.857774,-0.20
2025-11-30T17:17:18.960521,-0.12
2025-11-30T17:17:19.062722,-0.16
2025-11-30T17:17:19.165070,-0.22
2025-11-30T17:17:19.267825,-0.29
2025-11-30T17:17:19.370023,-0.36
2025-11-30T17:17:19.473198,-0.41
2025-11-30T17:17:19.575358,-0.50
2025-11-30T17:17:19.678552,-0.57
2025-11-30T17:17:19.781450,-0.48
2025-11-30T17:17:19.883140,-0.51
2025-11-30T17:17:19.984897,-0.48
2025-11-30T17:17:20.088298,-0.55
2025-11-30T17:17:20.190609,-0.58
2025-11-30T17:17:20.293442,-0.55
